Section;Fonctionnalité;Description;Bénéfice Client;Type
Header/Footer;Logo et branding;Logo cliquable retour accueil avec variantes par thème;Identité;Global
Header/Footer;Navigation principale;Menu déroulant Acheter Vendre Spécialités À propos;Orientation;Global
Header/Footer;Sous-menus avec images;Grille visuelle des spécialités avec photos;Découverte;Global
Header/Footer;Horloge temps réel;Affichage heure locale mise à jour chaque seconde;Repère temporel;Global
Header/Footer;Menu mobile responsive;Sheet navigation avec accordéons;Accessibilité mobile;Global
Header/Footer;Footer informations;Adresse téléphone email réseaux sociaux mentions légales;Contact facile;Global
Accueil;Hero section;Image plein écran avec accroche et CTA;Première impression;Marketing
Accueil;Carrousel prochaines ventes;Slider des ventes à venir avec SaleCard;Découverte rapide;Marketing
Accueil;Planning inline;Timeline 7 jours événements colorés swipe mobile;Vision planning;Gestion
Accueil;Section spécialités;Grille 8 cartes avec images et hover effects;Orientation;Marketing
Accueil;Témoignages carousel;Avis clients en carrousel rotatif;Confiance;Marketing
Services Acheteurs;Guide de l'acheteur;Page manifeste pourquoi acheter aux enchères;Pédagogie;Acheteur
Services Acheteurs;Glossaire des enchères;Définitions accordéon des termes du métier;Éducation;Acheteur
Services Acheteurs;Invitation entrée libre;Section incitant à venir en salle gratuit;Démystification;Acheteur
Services Acheteurs;Éco-responsabilité;Arguments circuit court seconde vie durabilité;Valeurs;Acheteur
Services Acheteurs;Ventes à venir;Liste des prochaines ventes avec filtres;Planification;Acheteur
Services Acheteurs;Ventes passées chronologiques;Résultats par date avec recherche et filtres;Historique;Acheteur
Services Acheteurs;Ventes passées par catégorie IA;Navigation par familles d'objets classifiées IA (voitures sport, mobilier XVIIe, bijoux...);Recherche ciblée;IA Exclusive
Services Acheteurs;Détail d'une vente;Fiche vente avec infos expositions catalogue lots;Information complète;Acheteur
Services Acheteurs;Catalogue en ligne HD;Fiches lots avec photos haute définition zoom galerie multi-images;Expertise à distance;Acheteur
Services Acheteurs;Détail d'un lot;Fiche lot avec images actions estimations description enrichie;Décision éclairée;Acheteur
Services Acheteurs;Ordres d'achat en ligne;Dépôt d'un montant maximum depuis la fiche lot confirmation email;Participation sans présence;Acheteur
