"Espace";"Sous-partie";"Fonctionnalité utilisateur";"Technique informatique";"Difficulté WP (0-10/Z)";"Export Lovable→WP";"Extensions WP nécessaires";"Difficulté duplication site enfant (0-10)"
"=== HEADER ===";"";"";"";"";"";""
"Header";"Logo";"Affichage logo cliquable → accueil";"HTML/CSS";"1";"Oui";"Thème natif";"0"
"Header";"Logo";"Responsive mobile/desktop";"CSS Media Queries";"2";"Oui";"Thème natif";"0"
"Header";"Navigation principale";"Menu iconographique horizontal";"React Components + CSS";"3";"Non";"Menu personnalisé ou Elementor Pro";"2"
"Header";"Navigation principale";"Icônes avec labels (Home, Vendre, Acheter, etc.)";"Lucide Icons + CSS";"4";"Non";"Icon plugins + Custom CSS";"2"
"Header";"Navigation principale";"Trait doré sous élément actif/survolé";"CSS :hover + state management";"3";"Non";"Custom CSS";"1"
"Header";"Navigation principale";"Badge notifications sur Compte";"React State + Supabase Query";"6";"Non";"Custom dev + WooCommerce";"4"
"Header";"Sous-menu Acheter";"Dropdown: Guide, Ventes à venir, Ventes passées, After Sale";"React Dropdown + CSS absolute";"4";"Non";"Mega Menu plugin";"2"
"Header";"Sous-menu Vendre";"Dropdown: Guide, Estimation, Inventaire, Journées";"React Dropdown + CSS absolute";"Voir Sous-menu Acheter";"Non";"Mega Menu plugin";"1"
"Header";"Sous-menu À propos";"Dropdown: Notre maison, Aventures, Coups de cœur";"React Dropdown + CSS absolute";"Voir Sous-menu Acheter";"Non";"Mega Menu plugin";"1"
"Header";"Sous-menu Spécialités";"8 spécialités avec icônes";"React Grid + Images";"5";"Non";"Mega Menu Pro + Custom icons";"2"
"Header";"Bouton Estimation";"Lien scroll vers formulaire #estimation-form";"Anchor link + smooth scroll";"2";"Oui";"Natif";"0"
"Header";"LiveClock";"Horloge temps réel + date";"JavaScript Date + setInterval";"3";"Oui";"Custom JS ou plugin";"1"
"Header";"LiveClock";"Clic ouvre/ferme Planning";"React Context + State";"5";"Non";"Custom dev";"3"
"Header";"Position fixe";"Header sticky au scroll";"CSS position:fixed + z-index";"2";"Oui";"Thème natif";"0"
"";"TOTAL HEADER";"";"";"";"";""
"";"";"";"Somme difficultés";"40";"";"";"19"
"=== FOOTER ===";"";"";"";"";"";""
"Footer";"Colonne Contact";"Adresse, téléphone, email cliquables";"HTML links (tel:, mailto:)";"1";"Oui";"Natif";"0"
"Footer";"Colonne Contact";"Lien Régler un achat (bordure dorée)";"Link + CSS border";"2";"Oui";"Natif";"0"
"Footer";"Colonne Acheter";"Liens: Guide, Ventes, After Sale, Calendrier";"React Router Links";"2";"Oui";"Menu natif";"0"
"Footer";"Colonne Vendre";"Liens: Guide, Estimation, Inventaire";"React Router Links";"Voir Acheter";"Oui";"Menu natif";"0"
"Footer";"Colonne À propos";"Liens: Notre maison, Aventures";"React Router Links";"Voir Acheter";"Oui";"Menu natif";"0"
"Footer";"Colonne Spécialités";"8 liens textuels vers pages spécialités";"React Router Links";"2";"Oui";"Menu natif";"0"
"Footer";"Légal";"Liens CGV, Mentions légales, Vie privée";"React Router Links";"1";"Oui";"Natif";"0"
"Footer";"Réseaux sociaux";"Icônes FB, Instagram, LinkedIn";"External links + icons";"1";"Oui";"Social icons plugin";"0"
