Section,Fonctionnalité,Description,Bénéfice,Auto Sync,Auto IA,SEO Natif,SEO 6M,Manuel,Type
Header/Footer,Logo et branding,Logo cliquable retour accueil variantes thème,Identité,—,—,—,—,✅,Global
Header/Footer,Navigation principale,Menu déroulant Acheter Vendre Spécialités À propos,Orientation,—,—,✅,—,—,Global
Header/Footer,Sous-menus avec images,Grille visuelle spécialités avec photos,Découverte,—,—,✅,✅,—,Global
Header/Footer,Horloge temps réel,Affichage heure locale mise à jour chaque seconde,Repère temporel,—,—,—,—,—,Global
Header/Footer,Menu mobile responsive,Sheet navigation avec accordéons,Accessibilité mobile,—,—,—,—,—,Global
Header/Footer,Footer informations,Adresse téléphone email réseaux sociaux,Contact facile,—,—,✅,—,✅,Global
Accueil,Hero section,Image plein écran accroche et CTA,Première impression,—,—,✅,✅,—,Marketing
Accueil,Carrousel prochaines ventes,Slider ventes à venir avec SaleCard,Découverte rapide,✅,—,✅,—,—,Marketing
Accueil,Planning inline,Timeline 7 jours événements colorés,Vision planning,✅,—,✅,—,✅,Gestion
Accueil,Section spécialités,Grille 8 cartes avec images hover effects,Orientation,—,—,✅,✅,—,Marketing
Accueil,Témoignages carousel,Avis clients en carrousel rotatif,Confiance,—,—,—,✅,✅,Marketing
Services Acheteurs,Guide de l'acheteur,Page manifeste pourquoi acheter aux enchères,Pédagogie,—,—,✅,✅,—,Acheteur
Services Acheteurs,Glossaire des enchères,Définitions accordéon termes du métier,Éducation,—,—,✅,—,—,Acheteur
Services Acheteurs,Invitation entrée libre,Section incitant à venir en salle gratuit,Démystification,—,—,✅,—,—,Acheteur
Services Acheteurs,Ventes à venir,Liste prochaines ventes avec filtres,Planification,✅,—,✅,—,—,Acheteur
Services Acheteurs,Ventes passées chronologiques,Résultats par date avec recherche et filtres,Historique,✅,—,✅,—,—,Acheteur
Services Acheteurs,Ventes passées par catégorie IA,Navigation par familles d'objets classifiées IA,Recherche ciblée,✅,✅,✅,—,—,IA Exclusive
Services Acheteurs,Détail d'une vente,Fiche vente infos expositions catalogue lots,Information complète,✅,—,✅,—,—,Acheteur
Services Acheteurs,Catalogue en ligne HD,Fiches lots photos haute définition zoom galerie,Expertise à distance,✅,—,✅,—,—,Acheteur
Services Acheteurs,Détail d'un lot,Fiche lot images actions estimations description,Décision éclairée,✅,✅,✅,—,—,Acheteur
Services Acheteurs,Ordres d'achat en ligne,Dépôt montant maximum confirmation email,Participation sans présence,—,—,—,—,—,Acheteur
Services Acheteurs,Enchères téléphoniques,Formulaire pour être rappelé pendant vente live,Enchérir en direct,—,—,—,—,—,Acheteur
Services Acheteurs,Ventes Chrono interface,Compte à rebours temps réel barre sticky guide,Ne rien manquer,✅,—,✅,—,—,Acheteur
Services Acheteurs,After-Sale invendus,Consultation achat invendus à prix fixe,Seconde chance,✅,—,✅,—,—,Acheteur
Services Acheteurs,Mémorisation de lots,Bouton cœur sauvegarder avec rappel dates,Organisation,—,—,—,—,—,Acheteur
Services Acheteurs,Paiement en ligne,Calcul auto frais 25% paiement sécurisé,Simplicité,—,—,—,—,—,Acheteur
Services Acheteurs,RDV enlèvement,Calendrier créneaux réservation confirmation,Gain de temps,—,—,—,—,✅,Acheteur
Services Acheteurs,Demande d'informations lot,Formulaire question rapport condition provenance,Réassurance,—,✅,—,—,—,Acheteur
Services Acheteurs,Inscription Interenchères,Lien direct vers inscription plateforme externe,Accès direct,✅,—,—,—,—,Acheteur
Services Vendeurs,Guide du vendeur,Page explicative processus estimation mise en vente,Pédagogie,—,—,✅,✅,—,Vendeur
